matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
1,-8.752508519044722,0,-3.4125694778058655,4,7,0,3,-3,1,3.8501476017100584,107
1,-8.752508519044722,0,-6.415893677464364,4,1,0,2,-1,0,5.308267697401205,107
4,-9.525698407278204,0,-6.649312891356779,1,7,0,1,-3,1,10,50
1,-6.649312891356779,0,-6.415893677464364,4,14,0,8,-1,0,10,50
4,-9.525698407278204,0,-4.6980515589636065,1,7,0,1,-20,0,1.9416996165189697,50
1,-6.404802990770206,0,-6.062570067885558,4,54,0,0,-2,0,10,50
1,-7.366214157924831,0,-10.401167144632103,4,1,0,2,-1,0,3.2188758248682006,50
4,-10.401167144632103,0,-10.401167144632103,4,4,0,0,-2,0,10,50
1,-7.366214157924831,0,-6.986724536219928,1,1,0,1,-9,0,3.2188758248682006,50
1,-6.999969762969948,0,-7.916260494844103,4,1,0,3,-3,1,2.17742195004004,50
4,-7.328473829941984,0,-4.6980515589636065,2,5,0,1,-3,1,10,50
3,-4.6980515589636065,0,-7.190323491461167,1,1,0,1,-7,0,4.976733742420574,61
3,-7.3954845402249445,0,-5.181892985424519,4,1,0,2,-1,0,1.766441661243765,61
4,-6.149818833600338,0,-9.708019964072157,4,6,0,2,-1,0,1.766441661243765,61
3,-7.3954845402249445,0,-3.4125694778058655,4,1,0,9,-12,0,3.8501476017100584,61
1,-8.139404046158313,0,-5.181892985424519,1,1,0,1,-16,0,1.766441661243765,93
1,-6.649312891356779,0,-4.6980515589636065,2,1,0,1,-1,0,2.908720896564361,93
1,-6.649312891356779,0,-6.649312891356779,1,1,0,1,-12,0,1.0045833390198333,93
1,-6.649312891356779,0,-4.6980515589636065,2,16,0,1,-1,0,10,93
4,-9.708019964072157,0,-3.4125694778058655,3,30,0,1,-6,0,2.833213344056216,93
1,-6.742746898002876,0,-6.149818833600338,1,2,0,1,-22,0,10,149
1,-6.149818833600338,0,-3.4125694778058655,3,26,0,1,-1,0,10,149
4,-9.612709784267834,0,-6.415893677464364,4,11,0,1,-3,1,10,149
4,-8.791729232198003,0,-6.415893677464364,3,4,0,1,-9,1,10,149
4,-8.678400546891,0,-7.950162046519784,4,11,0,1,-3,1,10,149
4,-7.950162046519784,0,-3.4125694778058655,4,31,0,0,1,1,3.8501476017100584,149
1,-6.649312891356779,0,-3.4125694778058655,3,20,0,1,9,0,10,95
4,-9.371547727450945,0,-6.649312891356779,1,1,0,1,-9,0,1.791759469228055,95
1,-6.649312891356779,0,-5.879378567583063,1,20,0,1,-2,0,5.82600010738045,95
4,-9.813380479729984,0,-5.879378567583063,3,11,0,1,-5,0,4.382026634673881,95
1,-8.752508519044722,0,-3.4125694778058655,3,29,0,1,-1,0,3.8501476017100584,95
4,-6.649312891356779,0,-7.950162046519784,3,2,0,1,-1,0,1.0045833390198333,95
4,-6.649312891356779,0,-6.415893677464364,4,2,0,3,-7,1,10,95
4,-8.714768191061875,0,-4.6980515589636065,3,5,0,1,5,0,10,95
4,-8.966082619342782,0,-4.6980515589636065,3,5,0,1,-1,0,10,95
3,-4.6980515589636065,0,-3.4125694778058655,3,1,0,1,-13,0,10,95
4,-8.203942567295885,0,-3.4125694778058655,4,6,0,10,-1,0,2.1972245773362196,144
4,-6.199464064089503,0,-3.4125694778058655,2,3,0,1,-1,0,3.8501476017100584,144
1,-6.649312891356779,0,-3.4125694778058655,4,1,0,5,-1,0,3.8501476017100584,144
3,-11.317457876506259,0,-3.4125694778058655,4,12,0,7,-3,1,0.6931471805599453,144
1,-3.4125694778058655,0,-6.415893677464364,4,2,0,2,-3,1,10,144
1,-8.832551226718259,0,-9.708019964072157,2,14,0,1,-2,0,1.791759469228055,144
1,-8.832551226718259,0,-3.4125694778058655,4,14,0,0,-7,0,3.8501476017100584,144
4,-9.238016334826423,0,-3.4125694778058655,2,26,0,1,-3,1,3.8501476017100584,144
2,-7.3954845402249445,0,-5.181892985424519,3,1,0,1,-1,0,10,144
4,-11.317457876506259,0,-9.931163515386368,4,32,0,0,-4,0,10,144
4,-6.649312891356779,0,-6.415893677464364,3,8,0,1,-1,0,10,101
4,-6.649312891356779,0,-6.415893677464364,3,18,0,1,-1,0,10,101
1,-8.139404046158313,0,-6.199464064089503,4,1,0,9,-1,0,1.3862943611198906,101
2,-6.649312891356779,0,-5.181892985424519,4,16,0,2,-1,0,5.82600010738045,101
4,-6.199464064089503,0,-9.238016334826423,1,11,0,1,-14,0,0.9207918647549467,101
1,-6.649312891356779,0,-6.649312891356779,3,13,0,2,-1,0,1.0045833390198333,101
3,-6.649312891356779,0,-5.181892985424519,4,16,0,2,-3,1,5.82600010738045,101
1,-6.649312891356779,0,-8.139404046158313,1,2,0,1,-1,0,1.0045833390198333,101
4,-6.199464064089503,0,-5.879378567583063,1,10,0,1,-2,0,10,101
4,-7.328473829941984,0,-3.4125694778058655,4,9,0,5,-2,0,10,101
3,-8.752508519044722,0,-5.879378567583063,3,1,0,1,-3,1,10,141
4,-9.612709784267834,0,-5.879378567583063,4,8,0,2,-3,1,10,141
4,-7.3954845402249445,0,-4.6980515589636065,3,10,0,1,-3,1,1.7707060600302227,141
1,-6.649312891356779,0,-7.158574793146586,4,13,0,6,-1,0,1.0045833390198333,141
1,-8.514097495599724,0,-6.415893677464364,4,3,0,3,-3,1,10,141
1,-9.445655699604668,0,-9.371547727450945,1,6,0,1,6,0,1.466337068793427,141
1,-9.445655699604668,0,-4.6980515589636065,4,6,0,3,-3,1,1.466337068793427,141
4,-6.649312891356779,0,-3.4125694778058655,4,3,0,2,-1,0,5.2390980068880655,141
4,-9.612709784267834,0,-5.879378567583063,4,4,0,5,-3,1,10,141
1,-6.649312891356779,0,-7.090624131238079,3,4,0,1,-1,0,10,141
4,-6.649312891356779,0,-4.6980515589636065,4,3,0,3,-1,0,1.0045833390198333,152
4,-8.139404046158313,0,-3.4125694778058655,4,0,0,24,-3,1,1.3862943611198906,152
2,-6.649312891356779,0,-8.139404046158313,3,8,0,1,2,0,1.0045833390198333,142
1,-6.999969762969948,0,-9.302554855963994,4,5,0,6,-3,1,2.17742195004004,142
4,-8.609407675404048,0,-8.226415423147943,3,2,0,1,-1,0,0.5596157879354228,142
3,-6.999969762969948,0,-6.08101591367631,4,1,0,14,-1,0,2.17742195004004,142
1,-8.752508519044722,1,-4.6980515589636065,3,6,0,1,2,0,5.2390980068880655,102
3,-7.3954845402249445,0,-6.1757943200035985,3,27,0,1,-3,1,1.7707060600302227,102
4,-7.328473829941984,0,-3.4125694778058655,4,14,0,2,-2,0,10,105
